General : Start date,"11/19/2025 10:54 AM"
General : End date,"11/19/2025 10:54 AM"
Specimen notes : Specimen note 1,"G8-4"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"27.10000","2.26158","14340.95020"
"27.20000","2.27000","14387.05371"
"27.30000","2.27829","14434.21289"
"27.40000","2.28668","14481.52344"
"27.50000","2.29502","14525.19043"
"27.60000","2.30334","14571.39551"
"27.70000","2.31173","14616.88867"
"27.80000","2.31994","14661.31348"
"27.90000","2.32831","14706.89355"
"28.00000","2.33660","14750.56738"
"28.10000","2.34491","14795.79688"
"28.20000","2.35333","14839.56152"
"28.30000","2.36159","14881.98340"
"28.40000","2.37001","14926.73145"
"28.50000","2.37828","14969.53027"
"28.60000","2.38662","15014.88281"
"28.70000","2.39498","15057.84570"
"28.80000","2.40330","15101.44043"
"28.90000","2.41174","15146.70410"
"29.00000","2.41995","15189.21680"
"29.10000","2.42835","15233.68652"
"29.20000","2.43666","15275.38477"
"29.30000","2.44498","15319.45215"
"29.40000","2.45339","15364.92090"
"29.50000","2.46166","15406.67676"
"29.60000","2.47007","15450.25684"
"29.70000","2.47834","15491.35449"
"29.80000","2.48665","15533.00000"
"29.90000","2.49500","15575.12305"
"30.00000","2.50329","15617.59570"
"30.10000","2.51170","15661.11719"
"30.20000","2.51997","15700.16992"
"30.30000","2.52828","15741.99316"
"30.40000","2.53662","15782.17480"
"30.50000","2.54491","15825.28027"
"30.60000","2.55333","15867.96191"
"30.70000","2.56162","15906.78809"
"30.80000","2.57004","15949.14453"
"30.90000","2.57835","15987.01172"
"31.00000","2.58667","16028.77637"
"31.10000","2.59501","16069.47363"
"31.20000","2.60327","16107.70996"
"31.30000","2.61164","16146.59473"
"31.40000","2.61993","16185.58789"
"31.50000","2.62829","16227.92773"
"31.60000","2.63666","16266.90918"
"31.70000","2.64490","16305.27539"
"31.80000","2.65332","16344.56543"
"31.90000","2.66161","16381.03711"
"32.00000","2.67000","16420.48828"
"32.10000","2.67839","16459.31641"
"32.20000","2.68668","16496.96875"
"32.30000","2.69505","16532.68555"
"32.40000","2.70323","16568.55664"
"32.50000","2.71160","16605.67969"
"32.60000","2.71992","16644.10938"
"32.70000","2.72826","16682.85938"
"32.80000","2.73667","16719.46875"
"32.90000","2.74496","16755.54883"
"33.00000","2.75338","16792.96094"
"33.10000","2.76164","16827.66797"
"33.20000","2.76999","16864.37500"
"33.30000","2.77835","16897.96094"
"33.40000","2.78662","16931.71289"
"33.50000","2.79506","16966.88086"
"33.60000","2.80332","17001.30078"
"33.70000","2.81169","17037.74414"
"33.80000","2.82000","17070.80078"
"33.90000","2.82827","17105.21289"
"34.00000","2.83666","17139.12695"
"34.10000","2.84495","17171.71484"
"34.20000","2.85334","17209.27148"
"34.30000","2.86161","17240.54883"
"34.40000","2.86992","17272.87500"
"34.50000","2.87826","17305.42578"
"34.60000","2.88655","17338.15625"
"34.70000","2.89497","17372.53125"
"34.80000","2.90329","17403.08398"
"34.90000","2.91165","17435.29688"
"35.00000","2.91999","17465.99609"
"35.10000","2.92826","17495.81641"
"35.20000","2.93665","17529.27930"
"35.30000","2.94491","17558.70703"
"35.40000","2.95328","17590.41016"
"35.50000","2.96167","17617.50195"
"35.60000","2.96999","17645.26953"
"35.70000","2.97840","17672.88086"
"35.80000","2.98664","17699.55664"
"35.90000","2.99501","17727.70508"
"36.00000","3.00332","17752.27344"
"36.10000","3.01164","17778.26562"
"36.20000","3.02003","17804.64258"
"36.30000","3.02832","17833.50977"
"36.40000","3.03671","17862.44922"
"36.50000","3.04500","17886.71484"
"36.60000","3.05329","17911.75000"
"36.70000","3.06166","17937.27930"
"36.80000","3.06995","17962.61914"
"36.90000","3.07836","17989.73633"
"37.00000","3.08665","18013.45508"
"37.10000","3.09507","18040.17383"
"37.20000","3.10339","18062.49609"
"37.30000","3.11163","18087.58008"
"37.40000","3.11999","18112.11719"
"37.50000","3.12823","18132.99414"
"37.60000","3.13662","18155.42578"
"37.70000","3.14494","18173.45117"
"37.80000","3.15330","18190.63672"
"37.87600","3.15965","17812.93750"
"37.87800","3.15983","17312.14258"
"37.88000","3.16003","16620.14062"
"37.88200","3.16021","15803.30469"
"37.88400","3.16041","14899.19434"
"37.88600","3.16064","13925.96191"
"37.88800","3.16084","12905.07715"
"37.89000","3.16104","11863.46484"
"37.89200","3.16127","10824.25000"
