General : Start date,"11/19/2025 9:47 AM"
General : End date,"11/19/2025 9:48 AM"
Specimen notes : Specimen note 1,"B22"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"26.40000","2.20017","17760.52930"
"26.50000","2.20854","17819.44922"
"26.60000","2.21680","17877.30078"
"26.70000","2.22517","17936.97461"
"26.80000","2.23344","17994.44531"
"26.90000","2.24180","18057.92969"
"27.00000","2.25017","18116.96484"
"27.10000","2.25846","18176.97656"
"27.20000","2.26690","18237.43164"
"27.30000","2.27511","18297.05469"
"27.40000","2.28345","18358.76953"
"27.50000","2.29174","18417.03906"
"27.60000","2.30006","18476.79688"
"27.70000","2.30850","18537.45703"
"27.80000","2.31677","18595.17773"
"27.90000","2.32516","18655.54492"
"28.00000","2.33345","18713.35156"
"28.10000","2.34176","18772.34570"
"28.20000","2.35015","18830.60742"
"28.30000","2.35842","18889.14062"
"28.40000","2.36684","18949.88281"
"28.50000","2.37510","19006.49414"
"28.60000","2.38347","19065.61523"
"28.70000","2.39183","19123.35547"
"28.80000","2.40007","19182.07227"
"28.90000","2.40846","19241.89844"
"29.00000","2.41675","19300.00391"
"29.10000","2.42517","19362.38477"
"29.20000","2.43354","19416.91992"
"29.30000","2.44180","19472.56641"
"29.40000","2.45017","19530.48047"
"29.50000","2.45841","19587.05664"
"29.60000","2.46682","19645.55664"
"29.70000","2.47514","19701.04492"
"29.80000","2.48348","19760.03711"
"29.90000","2.49187","19816.51953"
"30.00000","2.50014","19873.05664"
"30.10000","2.50853","19930.54883"
"30.20000","2.51677","19984.88086"
"30.30000","2.52516","20041.63672"
"30.40000","2.53350","20096.34375"
"30.50000","2.54176","20153.21484"
"30.60000","2.55013","20211.09375"
"30.70000","2.55842","20264.41797"
"30.80000","2.56681","20320.56055"
"30.90000","2.57513","20373.90625"
"31.00000","2.58339","20430.56836"
"31.10000","2.59183","20487.13867"
"31.20000","2.60015","20541.33594"
"31.30000","2.60854","20595.26758"
"31.40000","2.61680","20647.18555"
"31.50000","2.62512","20703.00781"
"31.60000","2.63346","20758.03320"
"31.70000","2.64170","20811.97852"
"31.80000","2.65014","20866.03711"
"31.90000","2.65848","20916.84570"
"32.00000","2.66685","20971.34766"
"32.10000","2.67514","21022.87695"
"32.20000","2.68343","21074.35352"
"32.30000","2.69185","21126.00586"
"32.40000","2.70014","21177.80664"
"32.50000","2.70855","21231.92188"
"32.60000","2.71684","21282.88281"
"32.70000","2.72516","21335.21680"
"32.80000","2.73350","21386.84375"
"32.90000","2.74174","21437.88281"
"33.00000","2.75013","21491.06445"
"33.10000","2.75842","21539.65820"
"33.20000","2.76679","21593.95703"
"33.30000","2.77518","21644.84180"
"33.40000","2.78344","21693.80859"
"33.50000","2.79183","21742.21289"
"33.60000","2.80010","21789.22266"
"33.70000","2.80844","21841.19727"
"33.80000","2.81680","21889.56055"
"33.90000","2.82509","21938.45898"
"34.00000","2.83354","21988.33008"
"34.10000","2.84178","22034.25000"
"34.20000","2.85012","22085.36523"
"34.30000","2.85843","22131.41406"
"34.40000","2.86675","22179.95312"
"34.50000","2.87519","22227.51367"
"34.60000","2.88345","22273.41016"
"34.70000","2.89184","22322.66406"
"34.80000","2.90008","22366.47266"
"34.90000","2.90840","22414.66406"
"35.00000","2.91679","22460.69141"
"35.10000","2.92508","22505.05078"
"35.20000","2.93352","22551.28516"
"35.30000","2.94176","22595.57031"
"35.40000","2.95010","22643.54297"
"35.50000","2.95847","22685.77539"
"35.60000","2.96676","22728.74805"
"35.70000","2.97515","22771.74219"
"35.80000","2.98344","22814.91406"
"35.90000","2.99186","22860.49609"
"36.00000","3.00022","22900.79492"
"36.10000","3.00849","22943.55859"
"36.20000","3.01685","22983.64258"
"36.30000","3.02509","23024.41992"
"36.40000","3.03349","23068.78320"
"36.50000","3.04180","23108.18945"
"36.60000","3.05017","23149.45703"
"36.70000","3.05856","23187.50000"
"36.80000","3.06677","23226.73047"
"36.90000","3.07514","23268.87109"
"37.00000","3.08340","23306.72266"
"37.10000","3.09179","23346.81055"
"37.20000","3.10016","23383.61133"
"37.30000","3.10845","23422.52930"
"37.40000","3.11687","23461.07031"
"37.50000","3.12511","23496.75391"
"37.60000","3.13347","23534.07031"
"37.70000","3.14179","23567.74805"
"37.80000","3.15010","23605.09570"
"37.90000","3.15847","23642.67969"
"38.00000","3.16673","23677.57617"
"38.10000","3.17515","23714.73242"
"38.20000","3.18349","23747.80273"
"38.30000","3.19181","23782.20898"
"38.40000","3.20017","23815.47461"
"38.50000","3.20844","23848.80664"
"38.60000","3.21685","23883.20312"
"38.70000","3.22514","23913.65039"
"38.80000","3.23351","23947.39062"
"38.90000","3.24183","23978.49219"
"39.00000","3.25009","24010.76758"
"39.10000","3.25848","24042.40820"
"39.20000","3.26677","24071.65820"
"39.30000","3.27519","24104.12500"
"39.40000","3.28350","24130.60742"
"39.50000","3.29182","24161.97266"
"39.60000","3.30018","24190.17773"
"39.70000","3.30843","24217.35742"
"39.80000","3.31684","24247.40430"
"39.90000","3.32513","24274.10352"
"40.00000","3.33347","24304.83789"
"40.10000","3.34181","24332.13086"
"40.20000","3.35008","24357.16602"
"40.30000","3.35849","24384.41016"
"40.40000","3.36676","24408.24414"
"40.50000","3.37510","24435.03516"
"40.60000","3.38347","24460.38867"
"40.70000","3.39181","24486.44727"
"40.80000","3.40022","24510.30664"
"40.90000","3.40846","24530.88477"
"41.00000","3.41683","24555.77148"
"41.10000","3.42512","24577.90234"
"41.20000","3.43341","24599.67578"
"41.30000","3.44180","24621.61719"
"41.40000","3.45012","24642.67383"
"41.50000","3.45853","24665.91211"
"41.60000","3.46680","24685.71875"
"41.70000","3.47511","24707.96094"
"41.80000","3.48348","24728.51953"
"41.90000","3.49182","24748.06250"
"42.00000","3.50021","24768.62500"
"42.10000","3.50848","24784.62500"
"42.20000","3.51687","24805.15625"
"42.30000","3.52516","24821.79492"
"42.40000","3.53342","24839.25195"
"42.50000","3.54179","24856.81445"
"42.60000","3.55008","24873.19727"
"42.70000","3.55849","24893.52734"
"42.80000","3.56681","24908.04102"
"42.90000","3.57513","24923.81641"
"43.00000","3.58349","24937.47852"
"43.10000","3.59178","24951.60938"
"43.20000","3.60015","24968.24219"
