General : Start date,"11/19/2025 9:58 AM"
General : End date,"11/19/2025 9:59 AM"
Specimen notes : Specimen note 1,"B31"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"25.40000","2.11684","15508.87109"
"25.50000","2.12516","15568.01367"
"25.60000","2.13350","15629.30957"
"25.70000","2.14186","15689.49414"
"25.80000","2.15013","15748.76953"
"25.90000","2.15852","15811.38379"
"26.00000","2.16679","15872.63672"
"26.10000","2.17515","15935.17773"
"26.20000","2.18354","15994.49512"
"26.30000","2.19178","16055.57520"
"26.40000","2.20017","16116.01074"
"26.50000","2.20844","16175.86621"
"26.60000","2.21680","16239.34668"
"26.70000","2.22517","16297.45996"
"26.80000","2.23349","16358.77637"
"26.90000","2.24185","16418.39453"
"27.00000","2.25009","16477.15039"
"27.10000","2.25848","16537.42578"
"27.20000","2.26675","16596.67969"
"27.30000","2.27511","16660.42578"
"27.40000","2.28350","16720.14453"
"27.50000","2.29177","16781.23047"
"27.60000","2.30016","16843.18164"
"27.70000","2.30845","16902.27148"
"27.80000","2.31682","16964.01953"
"27.90000","2.32516","17023.34375"
"28.00000","2.33345","17083.44531"
"28.10000","2.34189","17144.31641"
"28.20000","2.35015","17202.89258"
"28.30000","2.35855","17263.69922"
"28.40000","2.36684","17321.28320"
"28.50000","2.37513","17381.14453"
"28.60000","2.38349","17441.12305"
"28.70000","2.39178","17499.82812"
"28.80000","2.40020","17561.21289"
"28.90000","2.40851","17619.00977"
"29.00000","2.41685","17681.26562"
"29.10000","2.42520","17741.13477"
"29.20000","2.43341","17800.10352"
"29.30000","2.44180","17859.81250"
"29.40000","2.45012","17917.36719"
"29.50000","2.45851","17978.10547"
"29.60000","2.46685","18037.21094"
"29.70000","2.47514","18097.53125"
"29.80000","2.48350","18155.63477"
"29.90000","2.49180","18214.05664"
"30.00000","2.50016","18274.22461"
"30.10000","2.50848","18332.96680"
"30.20000","2.51677","18391.46680"
"30.30000","2.52518","18450.67969"
"30.40000","2.53347","18507.34570"
"30.50000","2.54184","18567.36719"
"30.60000","2.55010","18623.13281"
"30.70000","2.55844","18684.19531"
"30.80000","2.56681","18741.27539"
"30.90000","2.57513","18799.78711"
"31.00000","2.58357","18857.59180"
"31.10000","2.59183","18913.92969"
"31.20000","2.60017","18975.23047"
"31.30000","2.60849","19031.90234"
"31.40000","2.61678","19090.64258"
"31.50000","2.62520","19150.04102"
"31.60000","2.63349","19205.97852"
"31.70000","2.64185","19263.86914"
"31.80000","2.65017","19319.45312"
"31.90000","2.65843","19377.61328"
"32.00000","2.66685","19434.02344"
"32.10000","2.67511","19490.18750"
"32.20000","2.68353","19548.34961"
"32.30000","2.69182","19605.03516"
"32.40000","2.70014","19663.31641"
"32.50000","2.70853","19719.14648"
"32.60000","2.71679","19775.00586"
"32.70000","2.72516","19831.34961"
"32.80000","2.73345","19887.43164"
"32.90000","2.74184","19948.09961"
"33.00000","2.75020","20002.39844"
"33.10000","2.75847","20057.19141"
"33.20000","2.76686","20112.04102"
"33.30000","2.77510","20166.69727"
"33.40000","2.78347","20224.58398"
"33.50000","2.79178","20277.80859"
"33.60000","2.80015","20332.62305"
"33.70000","2.80851","20387.59180"
"33.80000","2.81678","20441.35742"
"33.90000","2.82515","20497.40820"
"34.00000","2.83344","20550.92969"
"34.10000","2.84183","20607.66016"
"34.20000","2.85019","20660.82031"
"34.30000","2.85851","20714.33008"
"34.40000","2.86690","20770.00781"
"34.50000","2.87514","20821.54688"
"34.60000","2.88348","20875.80469"
"34.70000","2.89179","20926.76758"
"34.80000","2.90008","20981.75977"
"34.90000","2.90853","21037.40625"
"35.00000","2.91679","21088.67773"
"35.10000","2.92518","21142.60547"
"35.20000","2.93350","21192.72070"
"35.30000","2.94181","21244.96094"
"35.40000","2.95018","21297.36719"
"35.50000","2.95847","21350.39453"
"35.60000","2.96689","21403.74609"
"35.70000","2.97518","21451.39062"
"35.80000","2.98349","21501.34375"
"35.90000","2.99183","21551.33203"
"36.00000","3.00007","21602.02148"
"36.10000","3.00849","21653.66797"
"36.20000","3.01680","21702.88281"
"36.30000","3.02520","21754.04297"
"36.40000","3.03354","21803.12695"
"36.50000","3.04178","21853.57227"
"36.60000","3.05014","21901.46680"
"36.70000","3.05841","21949.76172"
"36.80000","3.06680","22001.32031"
"36.90000","3.07514","22049.60547"
"37.00000","3.08345","22099.50586"
"37.10000","3.09182","22146.19336"
"37.20000","3.10008","22192.23633"
"37.30000","3.10850","22239.01367"
"37.40000","3.11679","22282.75195"
"37.50000","3.12513","22330.68359"
"37.60000","3.13350","22376.62891"
"37.70000","3.14181","22423.71680"
"37.80000","3.15023","22469.96680"
"37.90000","3.15847","22512.93750"
"38.00000","3.16684","22560.33008"
