General : Start date,"11/19/2025 10:49 AM"
General : End date,"11/19/2025 10:49 AM"
Specimen notes : Specimen note 1,"G8-2"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"22.70000","1.89182","12219.51562"
"22.80000","1.90021","12269.57324"
"22.90000","1.90853","12317.83105"
"23.00000","1.91684","12368.05859"
"23.10000","1.92523","12418.57422"
"23.20000","1.93347","12466.21289"
"23.30000","1.94187","12517.28809"
"23.40000","1.95016","12565.47852"
"23.50000","1.95850","12614.49609"
"23.60000","1.96689","12663.38672"
"23.70000","1.97515","12711.86621"
"23.80000","1.98352","12761.94434"
"23.90000","1.99176","12807.76562"
"24.00000","2.00010","12857.72949"
"24.10000","2.00846","12905.34277"
"24.20000","2.01678","12955.27930"
"24.30000","2.02520","13006.35742"
"24.40000","2.03349","13053.04590"
"24.50000","2.04185","13102.42090"
"24.60000","2.05014","13149.03613"
"24.70000","2.05843","13199.02734"
"24.80000","2.06682","13247.20996"
"24.90000","2.07511","13294.01465"
"25.00000","2.08356","13344.33691"
"25.10000","2.09187","13391.65430"
"25.20000","2.10019","13440.97363"
"25.30000","2.10855","13487.73730"
"25.40000","2.11682","13534.78125"
"25.50000","2.12521","13582.87500"
"25.60000","2.13352","13629.14746"
"25.70000","2.14186","13677.81445"
"25.80000","2.15021","13724.16016"
"25.90000","2.15847","13771.08203"
"26.00000","2.16686","13817.33691"
"26.10000","2.17513","13863.28027"
"26.20000","2.18349","13911.82520"
"26.30000","2.19186","13958.83691"
"26.40000","2.20020","14008.11719"
"26.50000","2.20859","14053.20312"
"26.60000","2.21686","14097.29980"
"26.70000","2.22525","14144.52344"
"26.80000","2.23349","14191.56348"
"26.90000","2.24178","14238.49902"
"27.00000","2.25014","14284.16504"
"27.10000","2.25843","14329.03223"
"27.20000","2.26685","14377.62109"
"27.30000","2.27514","14422.44043"
"27.40000","2.28350","14469.17676"
"27.50000","2.29185","14513.65625"
"27.60000","2.30011","14559.20605"
"27.70000","2.30855","14604.28711"
"27.80000","2.31684","14649.11816"
"27.90000","2.32523","14697.56934"
"28.00000","2.33350","14741.40137"
"28.10000","2.34181","14786.87207"
"28.20000","2.35021","14830.84961"
"28.30000","2.35852","14876.14355"
"28.40000","2.36694","14922.37793"
"28.50000","2.37525","14964.94141"
"28.60000","2.38357","15008.38574"
"28.70000","2.39191","15050.55176"
"28.80000","2.40012","15093.67480"
"28.90000","2.40854","15137.47559"
"29.00000","2.41683","15180.65625"
"29.10000","2.42517","15226.01367"
"29.20000","2.43351","15267.39551"
"29.30000","2.44178","15310.25879"
"29.40000","2.45017","15353.18750"
"29.50000","2.45843","15397.11230"
"29.60000","2.46685","15441.80078"
"29.70000","2.47519","15483.75488"
"29.80000","2.48353","15526.11426"
"29.90000","2.49192","15568.59863"
"30.00000","2.50016","15609.40430"
"30.10000","2.50850","15652.18457"
"30.20000","2.51677","15692.74805"
"30.30000","2.52511","15734.03027"
"30.40000","2.53350","15775.57031"
"30.50000","2.54179","15817.83789"
"30.60000","2.55020","15861.51172"
"30.70000","2.55847","15899.09375"
"30.80000","2.56684","15940.78223"
"30.90000","2.57518","15980.13770"
"31.00000","2.58349","16022.38281"
"31.10000","2.59193","16065.81250"
"31.20000","2.60020","16103.81738"
"31.30000","2.60856","16142.74219"
"31.40000","2.61680","16178.79883"
"31.50000","2.62507","16219.70215"
"31.60000","2.63346","16260.75195"
"31.70000","2.64178","16300.81055"
"31.80000","2.65022","16340.89453"
"31.90000","2.65853","16377.98242"
"32.00000","2.66687","16417.29688"
"32.10000","2.67521","16454.86133"
"32.20000","2.68348","16493.37500"
"32.30000","2.69187","16530.25781"
"32.40000","2.70016","16565.54883"
"32.50000","2.70855","16603.99609"
"32.60000","2.71689","16641.61328"
"32.70000","2.72516","16679.14258"
"32.80000","2.73355","16716.21484"
"32.90000","2.74181","16750.54102"
"33.00000","2.75020","16787.13867"
"33.10000","2.75850","16822.34375"
"33.20000","2.76684","16859.58594"
"33.30000","2.77518","16895.18750"
"33.40000","2.78339","16929.83789"
"33.50000","2.79181","16965.98047"
"33.60000","2.80010","16999.82031"
"33.70000","2.80846","17037.31641"
"33.80000","2.81685","17072.79883"
"33.90000","2.82515","17105.90430"
"34.00000","2.83354","17138.24023"
"34.10000","2.84180","17170.00391"
"34.20000","2.85014","17205.29492"
"34.30000","2.85846","17238.26953"
"34.40000","2.86677","17270.48242"
"34.50000","2.87524","17303.04102"
"34.60000","2.88350","17333.58008"
"34.70000","2.89190","17363.87695"
"34.80000","2.90019","17391.43164"
"34.90000","2.90848","17423.18164"
"35.00000","2.91687","17453.63867"
"35.10000","2.92513","17483.73242"
"35.20000","2.93357","17516.44531"
"35.30000","2.94186","17546.61133"
"35.40000","2.95018","17578.40039"
"35.50000","2.95852","17606.46289"
"35.60000","2.96681","17634.97656"
"35.70000","2.97520","17666.10352"
"35.80000","2.98349","17694.98438"
"35.90000","2.99188","17726.64453"
"36.00000","3.00022","17753.01562"
"36.10000","3.00854","17779.97656"
"36.20000","3.01693","17806.20508"
"36.30000","3.02514","17832.99219"
"36.40000","3.03349","17861.75195"
"36.50000","3.04180","17888.26367"
"36.60000","3.05012","17914.90820"
"36.70000","3.05851","17940.74609"
"36.80000","3.06680","17965.50195"
"36.90000","3.07519","17991.50391"
"37.00000","3.08345","18015.53711"
"37.10000","3.09179","18041.80469"
"37.20000","3.10016","18065.22852"
"37.30000","3.10850","18089.52930"
"37.40000","3.11692","18114.46484"
"37.50000","3.12516","18134.61523"
"37.60000","3.13350","18157.59375"
"37.70000","3.14186","18178.01758"
"37.80000","3.15018","18201.17188"
"37.90000","3.15862","18224.28906"
"38.00000","3.16689","18244.54883"
"38.10000","3.17528","18264.41602"
"38.19600","3.18321","17616.77148"
"38.19800","3.18339","16997.02148"
"38.20000","3.18359","16224.40332"
"38.20200","3.18377","15351.71582"
"38.20400","3.18397","14402.49121"
"38.20600","3.18420","13395.14258"
"38.20800","3.18440","12354.69727"
"38.21000","3.18463","11307.00293"
"38.21200","3.18483","10270.49316"
